"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
10.201,0,6.2653,397.05,1,1.328,-2.4,0,-0.672
10.247,0,6.2452,396.66,1,1.332,-2.4,0,-0.668
10.292,0,6.2252,396.28,1,1.336,-2.4,0,-0.664
10.337,0,6.2052,395.9,1,1.34,-2.4,0,-0.66
10.381,0,6.1852,395.52,1,1.344,-2.4,0,-0.656
10.426,0,6.1653,395.14,1,1.348,-2.4,0,-0.652
10.47,0,6.1453,394.76,1,1.352,-2.4,0,-0.648
10.514,0,6.1234,394.39,1,1.356,-2.4,0,-0.644
10.558,0,6.1005,394.02,1,1.36,-2.4,0,-0.64
10.601,0,6.0776,393.66,1,1.364,-2.4,0,-0.636
10.644,0,6.0547,393.29,1,1.368,-2.4,0,-0.632
10.687,0,6.0317,392.92,1,1.372,-2.4,0,-0.628
