"U:0","U:1","U:2","p","vtkValidPointMask","arc_length"
29.945,0,-0.00057011,15.48,1,2.8
29.959,0,-0.00057975,15.067,1,2.808
29.973,0,-0.0005894,14.654,1,2.816
29.987,0,-0.00059901,14.249,1,2.824
29.999,0,-0.00060849,13.872,1,2.832
30.012,0,-0.00061797,13.496,1,2.84
30.024,0,-0.00062736,13.133,1,2.848
30.036,0,-0.00063663,12.788,1,2.856
30.047,0,-0.00064589,12.443,1,2.864
30.058,0,-0.00065498,12.117,1,2.872
30.069,0,-0.00066398,11.8,1,2.88
30.079,0,-0.00067298,11.483,1,2.888
30.089,0,-0.00068169,11.188,1,2.896
30.099,0,-0.00069036,10.895,1,2.904
30.109,0,-0.000699,10.605,1,2.912
30.118,0,-0.00070729,10.335,1,2.92
30.127,0,-0.00071559,10.065,1,2.928
30.135,0,-0.00072375,9.8009,1,2.936
30.144,0,-0.00073163,9.5506,1,2.944
30.152,0,-0.0007395,9.3002,1,2.952
30.16,0,-0.00074713,9.0596,1,2.96
30.168,0,-0.00075455,8.8273,1,2.968
30.176,0,-0.00076197,8.5951,1,2.976
30.183,0,-0.00076902,8.3756,1,2.984
30.19,0,-0.00077595,8.1602,1,2.992
30.197,0,-0.00078289,7.9448,1,3
30.204,0,-0.00078933,7.7448,1,3.008
30.21,0,-0.00079576,7.5451,1,3.016
30.217,0,-0.00080209,7.3484,1,3.024
30.223,0,-0.000808,7.1637,1,3.032
30.229,0,-0.00081392,6.979,1,3.04
30.235,0,-0.00081962,6.8001,1,3.048
30.241,0,-0.00082503,6.6296,1,3.056
30.247,0,-0.00083043,6.459,1,3.064
30.252,0,-0.00083552,6.297,1,3.072
30.257,0,-0.00084042,6.14,1,3.08
30.262,0,-0.00084533,5.9829,1,3.088
30.267,0,-0.00084983,5.8369,1,3.096
30.272,0,-0.00085427,5.6927,1,3.104
30.277,0,-0.00085867,5.5494,1,3.112
30.281,0,-0.00086267,5.4174,1,3.12
30.286,0,-0.00086666,5.2854,1,3.128
30.29,0,-0.00087053,5.1569,1,3.136
30.294,0,-0.00087411,5.0365,1,3.144
30.298,0,-0.00087769,4.916,1,3.152
30.302,0,-0.00088106,4.8013,1,3.16
30.305,0,-0.00088424,4.6918,1,3.168
30.309,0,-0.00088742,4.5822,1,3.176
30.312,5.0317e-34,-0.0008903,4.4804,1,3.184
30.316,8.9342e-19,-0.0008931,4.3811,1,3.192
30.319,-3.9199e-33,-0.00089589,4.2818,1,3.2
30.322,1.5413e-18,-0.00089832,4.1918,1,3.208
30.325,-4.7816e-34,-0.00090074,4.102,1,3.216
30.328,0,-0.00090309,4.0141,1,3.224
30.331,0,-0.00090515,3.9332,1,3.232
30.333,0,-0.00090721,3.8524,1,3.24
30.336,0,-0.00090913,3.7751,1,3.248
30.338,0,-0.00091085,3.7025,1,3.256
30.341,0,-0.00091257,3.6299,1,3.264
30.343,2.0953e-18,-0.00091409,3.5623,1,3.272
30.345,1.9813e-19,-0.00091549,3.4973,1,3.28
30.347,0,-0.00091689,3.4324,1,3.288
30.349,6.9452e-19,-0.00091805,3.3736,1,3.296
30.351,5.1394e-19,-0.00091916,3.3156,1,3.304
30.353,3.8073e-18,-0.00092026,3.2583,1,3.312
30.355,0,-0.00092112,3.2068,1,3.32
30.357,0,-0.00092199,3.1553,1,3.328
30.358,1.8576e-18,-0.00092279,3.1057,1,3.336
30.36,0,-0.00092344,3.0602,1,3.344
30.361,0,-0.0009241,3.0146,1,3.352
30.363,4.7521e-19,-0.00092466,2.9719,1,3.36
30.364,3.6867e-20,-0.00092514,2.9317,1,3.368
30.365,1.2573e-18,-0.00092563,2.8915,1,3.376
30.367,-1.4538e-20,-0.000926,2.8551,1,3.384
30.368,1.3797e-19,-0.00092634,2.8198,1,3.392
30.369,1.027e-18,-0.00092668,2.7845,1,3.4
30.37,0,-0.0009269,2.7537,1,3.408
30.371,0,-0.00092712,2.7228,1,3.416
30.372,0,-0.00092732,2.6929,1,3.424
30.373,0,-0.00092745,2.6661,1,3.432
30.374,0,-0.00092757,2.6393,1,3.44
30.375,7.3346e-20,-0.00092766,2.6142,1,3.448
30.376,1.0692e-22,-0.0009277,2.5911,1,3.456
30.376,8.5475e-20,-0.00092774,2.568,1,3.464
30.377,4.6177e-20,-0.00092772,2.5471,1,3.472
30.378,-8.2947e-21,-0.00092768,2.5274,1,3.48
30.378,-6.2706e-21,-0.00092764,2.5076,1,3.488
30.379,0,-0.00092753,2.4905,1,3.496
30.38,0,-0.00092741,2.4738,1,3.504
30.38,0,-0.00092729,2.4574,1,3.512
30.381,0,-0.00092711,2.4434,1,3.52
30.381,0,-0.00092692,2.4294,1,3.528
30.382,1.1997e-20,-0.00092672,2.4162,1,3.536
30.382,4.412e-23,-0.00092647,2.4047,1,3.544
30.382,9.1544e-21,-0.00092623,2.3932,1,3.552
30.383,-2.9164e-22,-0.00092595,2.383,1,3.56
30.383,-5.9134e-24,-0.00092565,2.3737,1,3.568
30.383,-4.8221e-22,-0.00092534,2.3645,1,3.576
30.384,0,-0.000925,2.3569,1,3.584
30.384,0,-0.00092466,2.3497,1,3.592
30.384,0,-0.00092431,2.3426,1,3.6
30.384,0,-0.00092393,2.3373,1,3.608
30.385,0,-0.00092354,2.3321,1,3.616
30.385,0,-0.00092316,2.3272,1,3.624
30.385,0,-0.00092274,2.3237,1,3.632
30.385,0,-0.00092233,2.3203,1,3.64
30.385,0,-0.00092191,2.3175,1,3.648
30.385,0,-0.00092147,2.3157,1,3.656
30.385,0,-0.00092103,2.3138,1,3.664
30.385,0,-0.00092058,2.313,1,3.672
30.385,0,-0.00092012,2.3127,1,3.68
30.385,0,-0.00091966,2.3123,1,3.688
30.385,0,-0.0009192,2.3133,1,3.696
30.385,0,-0.00091874,2.3144,1,3.704
30.385,-7.7074e-22,-0.00091827,2.3157,1,3.712
30.385,-1.0461e-22,-0.0009178,2.3182,1,3.72
30.385,1.084e-22,-0.00091734,2.3207,1,3.728
30.385,0,-0.00091687,2.3236,1,3.736
30.385,0,-0.00091639,2.3274,1,3.744
30.385,0,-0.00091592,2.3312,1,3.752
30.385,0,-0.00091545,2.3357,1,3.76
